銘柄コード,銘柄名,市場,日付,時刻,始値,高値,安値,終値,出来高,移動平均(5),移動平均(25),移動平均(75)
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,0:0:0,39570,39675,39550,39655,12469,NaN,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,1:0:0,39655,39760,39640,39740,13084,NaN,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:0:0,39745,39825,39670,39780,14186,NaN,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:0:0,39785,39790,39480,39545,25152,NaN,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:0:0,39545,39575,39385,39470,16817,39638,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:0:0,39465,39465,39340,39375,11569,39582,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,6:0:0,39360,39360,39360,39360,1565,39506,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,8:45:0,38750,38780,38405,38680,143813,39286,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,9:45:0,38675,38865,38605,38715,70657,39120,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,10:45:0,38715,38770,38440,38480,54086,38922,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,11:45:0,38480,38595,38365,38540,42879,38755,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,12:45:0,38540,38575,38415,38445,38275,38572,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,13:45:0,38445,38505,38395,38420,31046,38520,NaN,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/3,14:45:0,38420,38550,38410,38535,36847,38484,NaN,NaN
