銘柄コード,銘柄名,市場,日付,時刻,始値,高値,安値,終値,出来高,移動平均(5),移動平均(25),移動平均(75)
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:0:0,39745,39755,39730,39745,386,39741,39697.2,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:3:0,39745,39750,39705,39715,412,39737,39700.2,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:6:0,39720,39745,39670,39745,2964,39738,39704.6,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:9:0,39750,39755,39695,39735,2357,39736,39707.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:12:0,39735,39760,39730,39755,659,39739,39711.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:15:0,39750,39755,39725,39750,428,39740,39715.2,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:18:0,39750,39775,39750,39765,766,39750,39719.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:21:0,39765,39795,39765,39795,1140,39760,39725.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:24:0,39795,39795,39780,39790,853,39771,39730.6,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:27:0,39790,39800,39785,39795,653,39779,39734.6,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:30:0,39800,39825,39795,39815,858,39792,39739.2,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:33:0,39815,39815,39800,39805,528,39800,39743.6,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:36:0,39805,39815,39800,39805,231,39802,39748,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:39:0,39805,39805,39780,39790,296,39802,39752.4,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:42:0,39790,39795,39775,39790,338,39801,39756.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:45:0,39790,39790,39775,39780,212,39794,39759.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:48:0,39780,39800,39770,39800,282,39793,39762.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:51:0,39800,39805,39785,39795,362,39791,39765.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:54:0,39795,39795,39775,39785,216,39790,39767.4,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,2:57:0,39785,39785,39775,39780,245,39788,39769.2,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:0:0,39785,39785,39760,39760,552,39784,39770.2,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:3:0,39765,39790,39765,39780,479,39780,39772,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:6:0,39785,39785,39780,39780,148,39777,39773.6,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:9:0,39780,39785,39770,39770,175,39774,39774.6,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:12:0,39770,39775,39765,39775,80,39773,39776,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:15:0,39775,39790,39775,39785,198,39778,39777.6,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:18:0,39785,39785,39620,39695,4482,39761,39776.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:21:0,39695,39715,39650,39670,2102,39739,39773.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:24:0,39670,39670,39605,39625,1653,39710,39769.4,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:27:0,39620,39645,39605,39615,1152,39678,39763.8,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:30:0,39620,39645,39590,39615,1686,39644,39758.4,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:33:0,39620,39620,39480,39555,5036,39616,39750,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:36:0,39555,39555,39500,39535,1836,39589,39739.6,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:39:0,39540,39610,39540,39575,1301,39579,39731,NaN
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:42:0,39575,39595,39520,39555,1102,39567,39721.4,39692.6
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:45:0,39555,39600,39540,39600,670,39564,39712.8,39692.6
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:48:0,39600,39610,39575,39590,716,39571,39704.2,39692.7333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:51:0,39590,39605,39535,39555,739,39575,39694.2,39692.8
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:54:0,39555,39585,39545,39570,527,39574,39685.4,39692.6
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,3:57:0,39575,39575,39525,39545,518,39572,39675.6,39692.0667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:0:0,39545,39575,39525,39535,687,39559,39665.8,39691.4667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:3:0,39535,39550,39515,39520,550,39545,39654.6,39690.7333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:6:0,39510,39515,39425,39460,2545,39526,39641.2,39688.9333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:9:0,39460,39495,39450,39485,1122,39509,39629.2,39687.5333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:12:0,39490,39530,39480,39505,1070,39501,39618.2,39686.2
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:15:0,39505,39530,39480,39485,794,39491,39607.2,39684.3333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:18:0,39480,39480,39450,39470,706,39481,39594.8,39682.2
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:21:0,39465,39475,39445,39470,665,39483,39582.4,39680.0667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:24:0,39465,39505,39450,39490,624,39484,39571.2,39678.1333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:27:0,39490,39500,39470,39495,444,39482,39560,39676.4
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:30:0,39495,39530,39495,39510,812,39487,39549,39674.6
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:33:0,39510,39530,39510,39510,490,39495,39541.6,39672.8667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:36:0,39510,39510,39455,39470,786,39495,39533.6,39670.6667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:39:0,39470,39475,39445,39475,449,39492,39527.6,39668.2667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:42:0,39470,39485,39415,39420,671,39477,39519.8,39665.1333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:45:0,39420,39420,39385,39395,1133,39454,39511,39661.5333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:48:0,39395,39455,39390,39440,927,39440,39506.4,39658.7333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:51:0,39440,39490,39440,39450,808,39436,39503,39656.1333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:54:0,39450,39500,39445,39485,967,39438,39499.4,39653.6667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,4:57:0,39485,39495,39465,39470,567,39448,39496,39650.6667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:0:0,39465,39465,39405,39410,824,39451,39488.4,39646.8
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:3:0,39410,39425,39385,39390,976,39441,39480.4,39642.7333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:6:0,39395,39405,39375,39380,648,39427,39473.4,39638.5333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:9:0,39380,39395,39370,39395,544,39409,39466.4,39634.7333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:12:0,39385,39390,39355,39365,869,39388,39459.2,39630.5333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:15:0,39365,39390,39340,39380,901,39382,39453,39626.2
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:18:0,39380,39400,39365,39365,342,39377,39446.8,39621.4
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:21:0,39370,39385,39340,39350,693,39371,39442.4,39616.4667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:24:0,39355,39395,39350,39355,389,39363,39437.2,39611.2667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:27:0,39360,39370,39340,39360,785,39362,39431.4,39606.2667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:30:0,39360,39390,39355,39375,625,39361,39427,39601.4667
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:33:0,39380,39400,39375,39380,558,39364,39423.4,39596.7333
160030023,日経225ﾏｲｸﾛ25年03月限,大阪,2025/2/1,5:36:0,39385,39400,39360,39370,737,39368,39419.4,39591.8
